Building,Floor,Suite,Room,Room Type,Suite Size (if applicable),Is Suite?,Room Size,Has Kitchen?,Has Bathroom?,Common Area Size,Floor Plan Link
BARBOUR HALL,BARBOUR FL 0 APT,BARBOUR 050,BARBOUR 050 051,Double (Suite/Apartment),3,Yes,307,Yes,Yes,331,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_0_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 0 APT,BARBOUR 050,BARBOUR 050 052,Single (Suite/Apartment),3,Yes,98,Yes,Yes,331,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_0_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 0 APT,BARBOUR 080,BARBOUR 080 081,Double (Suite/Apartment),4,Yes,228,Yes,Yes,385,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_0_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 0 APT,BARBOUR 080,BARBOUR 080 084,Double (Suite/Apartment),4,Yes,199,Yes,Yes,385,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_0_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,Triple,,No,425,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1,BARBOUR 105,BARBOUR 105,Triple,,No,482,Yes,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1,BARBOUR 106,BARBOUR 106,Double,,No,379,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1,BARBOUR 108,BARBOUR 108,Double,,No,397,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 150,BARBOUR 150 152,Triple (Suite/Apartment),5,Yes,276,Yes,Yes,312,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 150,BARBOUR 150 155,Double (Suite/Apartment),5,Yes,186,Yes,Yes,312,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 170,BARBOUR 170 171,Double (Suite/Apartment),4,Yes,183,Yes,Yes,329,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 170,BARBOUR 170 174,Double (Suite/Apartment),4,Yes,183,Yes,Yes,329,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 180,BARBOUR 180 180,Double (Suite/Apartment),4,Yes,182,Yes,Yes,262,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 180,BARBOUR 180 183,Double (Suite/Apartment),4,Yes,203,Yes,Yes,262,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2,BARBOUR 201,BARBOUR 201,Double,,No,399,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2,BARBOUR 202,BARBOUR 202,Double,,No,350,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2,BARBOUR 203,BARBOUR 203,Triple,,No,387,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2,BARBOUR 205,BARBOUR 205,Triple,,No,444,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 250,BARBOUR 250 252,Triple (Suite/Apartment),5,Yes,287,Yes,Yes,312,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 250,BARBOUR 250 255,Double (Suite/Apartment),5,Yes,186,Yes,Yes,312,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 260,BARBOUR 260 263,Single (Suite/Apartment),5,Yes,90,Yes,Yes,527,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 260,BARBOUR 260 264,Double (Suite/Apartment),5,Yes,183,Yes,Yes,527,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 260,BARBOUR 260 265,Double (Suite/Apartment),5,Yes,183,Yes,Yes,527,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 280,BARBOUR 280 281,Double (Suite/Apartment),4,Yes,182,Yes,Yes,262,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 280,BARBOUR 280 283,Double (Suite/Apartment),4,Yes,203,Yes,Yes,262,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3,BARBOUR 301,BARBOUR 301,Double,,No,399,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3,BARBOUR 302,BARBOUR 302,Double,,No,350,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3,BARBOUR 303,BARBOUR 303,Triple,,No,425,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3,BARBOUR 305,BARBOUR 305,Double,,No,482,Yes,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3,BARBOUR 306,BARBOUR 306,Double,,No,379,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3,BARBOUR 308,BARBOUR 308,Double,,No,397,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 350,BARBOUR 350 352,Triple (Suite/Apartment),5,Yes,287,Yes,Yes,312,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 350,BARBOUR 350 355,Double (Suite/Apartment),5,Yes,186,Yes,Yes,312,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 360,BARBOUR 360 363,Single (Suite/Apartment),5,Yes,90,Yes,Yes,350,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 360,BARBOUR 360 364,Double (Suite/Apartment),5,Yes,183,Yes,Yes,350,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 360,BARBOUR 360 365,Double (Suite/Apartment),5,Yes,183,Yes,Yes,350,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 370,BARBOUR 370 371,Double (Suite/Apartment),4,Yes,183,Yes,Yes,329,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 370,BARBOUR 370 374,Double (Suite/Apartment),4,Yes,183,Yes,Yes,329,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 390,BARBOUR 390 391,Double (Suite/Apartment),4,Yes,183,Yes,Yes,261,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 390,BARBOUR 390 393,Double (Suite/Apartment),4,Yes,198,Yes,Yes,261,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 1,BUXTON 101,BUXTON 101,Double,,No,223,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_1_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 1,BUXTON 102,BUXTON 102,Double,,No,222,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_1_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 2,BUXTON 201,BUXTON 201,Double,,No,223,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 2,BUXTON 202,BUXTON 202,Double,,No,313,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 2,BUXTON 212,BUXTON 212,Single,,No,121,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 2,BUXTON 214,BUXTON 214,Double,,No,250,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 2,BUXTON 216A,BUXTON 216A,Single,,No,123,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 2,BUXTON 216B,BUXTON 216B,Single,,No,121,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 2,BUXTON 218,BUXTON 218,Double,,No,243,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 2,BUXTON 219,BUXTON 219,Double,,No,232,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 2,BUXTON 220,BUXTON 220,Double,,No,232,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 3,BUXTON 301,BUXTON 301,Double,,No,222,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 3,BUXTON 302,BUXTON 302,Double,,No,223,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 3,BUXTON 314,BUXTON 314,Double,,No,250,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 3,BUXTON 316A,BUXTON 316A,Single,,No,123,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 3,BUXTON 316B,BUXTON 316B,Single,,No,121,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 3,BUXTON 318,BUXTON 318,Double,,No,243,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 3,BUXTON 319,BUXTON 319,Double,,No,232,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 3,BUXTON 320,BUXTON 320,Double,,No,232,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 4,BUXTON 414,BUXTON 414,Double,,No,292,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_4_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 4,BUXTON 418,BUXTON 418,Double,,No,219,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_4_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 4,BUXTON 420,BUXTON 420,Double,,No,232,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_4_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 1 S,CASWELL 101,CASWELL 101,Double,,No,235,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_1_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 1 S,CASWELL 102,CASWELL 102,Double,,No,287,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_1_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 1 S,CASWELL 103,CASWELL 103,Double,,No,215,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_1_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 1 S,CASWELL 104,CASWELL 104,Double,,No,213,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_1_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 1 M,CASWELL 105,CASWELL 105,Double,,No,270,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_1_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 1 M,CASWELL 106,CASWELL 106,Double,,No,252,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_1_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 1 M,CASWELL 107,CASWELL 107,Double,,No,195,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_1_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 1 M,CASWELL 108,CASWELL 108,Double,,No,213,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_1_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 1 N,CASWELL 109,CASWELL 109,Double,,No,233,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_1_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 1 N,CASWELL 110,CASWELL 110,Double,,No,234,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_1_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 1 N,CASWELL 111,CASWELL 111,Double,,No,262,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_1_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 1 N,CASWELL 112,CASWELL 112,Double,,No,214,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_1_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 2 S,CASWELL 201,CASWELL 201,Double,,No,239,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_2_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 2 S,CASWELL 202,CASWELL 202,Double,,No,273,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_2_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 2 S,CASWELL 203,CASWELL 203,Double,,No,241,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_2_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 2 S,CASWELL 204,CASWELL 204,Double,,No,219,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_2_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 2 M,CASWELL 205,CASWELL 205,Double,,No,239,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_2_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 2 M,CASWELL 206,CASWELL 206,Double,,No,278,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_2_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 2 M,CASWELL 207,CASWELL 207,Double,,No,257,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_2_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 2 M,CASWELL 208,CASWELL 208,Double,,No,219,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_2_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 2 N,CASWELL 209,CASWELL 209,Double,,No,232,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_2_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 2 N,CASWELL 210,CASWELL 210,Double,,No,248,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_2_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 2 N,CASWELL 211,CASWELL 211,Double,,No,231,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_2_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 2 N,CASWELL 212,CASWELL 212,Double,,No,215,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_2_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 3 S,CASWELL 301,CASWELL 301,Double,,No,239,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_3_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 3 S,CASWELL 302,CASWELL 302,Double,,No,269,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_3_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 3 S,CASWELL 303,CASWELL 303,Double,,No,243,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_3_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 3 S,CASWELL 303,CASWELL 304,Double,,No,219,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_3_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 3 M,CASWELL 305,CASWELL 305,Double,,No,239,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_3_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 3 M,CASWELL 306,CASWELL 306,Double,,No,280,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_3_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 3 M,CASWELL 307,CASWELL 307,Double,,No,247,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_3_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 3 M,CASWELL 308,CASWELL 308,Double,,No,219,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_3_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 3 N,CASWELL 309,CASWELL 309,Double,,No,232,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_3_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 3 N,CASWELL 310,CASWELL 310,Double,,No,237,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_3_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 3 N,CASWELL 311,CASWELL 311,Double,,No,220,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_3_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 3 N,CASWELL 312,CASWELL 312,Double,,No,215,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_3_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 4 S,CASWELL 401,CASWELL 401,Double,,No,263,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_4_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 4 S,CASWELL 402,CASWELL 402,Double,,No,281,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_4_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 4 S,CASWELL 403,CASWELL 403,Double,,No,237,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_4_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 4 S,CASWELL 404,CASWELL 404,Double,,No,243,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_4_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 4 M,CASWELL 405,CASWELL 405,Double,,No,239,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_4_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 4 M,CASWELL 406,CASWELL 406,Double,,No,257,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_4_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 4 M,CASWELL 407,CASWELL 407,Double,,No,254,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_4_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 4 M,CASWELL 408,CASWELL 408,Double,,No,243,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_4_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 4 N,CASWELL 409,CASWELL 409,Double,,No,251,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_4_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 4 N,CASWELL 410,CASWELL 410,Double,,No,264,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_4_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 4 N,CASWELL 411,CASWELL 411,Double,,No,254,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_4_dwg_base_a_8x11l.pdf
CASWELL HALL,CASWELL FL 4 N,CASWELL 412,CASWELL 412,Double,,No,232,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100004_4_dwg_base_a_8x11l.pdf
CHAPIN HOUSE,CHAPIN FL 1,CHAPIN 106,CHAPIN 106,Single,,No,190,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100163_1_dwg_base_a_8x11l.pdf
CHAPIN HOUSE,CHAPIN FL 1,CHAPIN 107,CHAPIN 107,Double,,No,244,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100163_1_dwg_base_a_8x11l.pdf
CHAPIN HOUSE,CHAPIN FL 1,CHAPIN 108,CHAPIN 108,Double,,No,248,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100163_1_dwg_base_a_8x11l.pdf
CHAPIN HOUSE,CHAPIN FL 1,CHAPIN 113,CHAPIN 113,Double,,No,219,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100163_1_dwg_base_a_8x11l.pdf
CHAPIN HOUSE,CHAPIN FL 1,CHAPIN 114B,CHAPIN 114B,Single,,No,166,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100163_1_dwg_base_a_8x11l.pdf
CHAPIN HOUSE,CHAPIN FL 1,CHAPIN 117,CHAPIN 117,Double,,No,219,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100163_1_dwg_base_a_8x11l.pdf
CHAPIN HOUSE,CHAPIN FL 1,CHAPIN 120,CHAPIN 120,Single,,No,134,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100163_1_dwg_base_a_8x11l.pdf
CHAPIN HOUSE,CHAPIN FL 1,CHAPIN 124,CHAPIN 124,Double,,No,248,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100163_1_dwg_base_a_8x11l.pdf
CHAPIN HOUSE,CHAPIN FL 1,CHAPIN 126,CHAPIN 126,Single,,No,190,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100163_1_dwg_base_a_8x11l.pdf
CHAPIN HOUSE,CHAPIN FL 2,CHAPIN 201,CHAPIN 201,Double,,No,232,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100163_1_dwg_base_a_8x11l.pdf
CHAPIN HOUSE,CHAPIN FL 2,CHAPIN 202,CHAPIN 202,Double,,No,232,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100163_2_dwg_base_a_8x11l.pdf
CHAPIN HOUSE,CHAPIN FL 2,CHAPIN 204,CHAPIN 204,Double,,No,243,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100163_2_dwg_base_a_8x11l.pdf
